flag,n_samples,positive_rate,accuracy,precision,recall,f1,fpr,tpr
OTH,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0
REJ,3850,0.9912,0.9049,0.9926,0.9109,0.95,0.7647,0.9109
RSTO,773,0.9974,0.5006,1.0,0.4994,0.6661,0.0,0.4994
RSTOS0,2,0.5,0.5,0.5,1.0,0.6667,1.0,1.0
RSTR,669,0.9342,0.8939,0.9439,0.9424,0.9432,0.7955,0.9424
S0,2013,1.0,0.9563,1.0,0.9563,0.9777,0.0,0.9563
S1,21,0.4762,0.5714,0.6667,0.2,0.3077,0.0909,0.2
S2,15,0.4667,0.6667,0.75,0.4286,0.5455,0.125,0.4286
S3,249,0.9839,0.3534,1.0,0.3429,0.5106,0.0,0.3429
SF,14875,0.3542,0.7499,0.8886,0.336,0.4876,0.0231,0.336
SH,73,1.0,1.0,1.0,1.0,1.0,0.0,1.0
