service,n_samples,positive_rate,accuracy,precision,recall,f1,fpr,tpr
IRC,13,0.2308,0.9231,1.0,0.6667,0.8,0.0,0.6667
X11,15,0.7333,0.3333,1.0,0.0909,0.1667,0.0,0.0909
Z39_50,45,1.0,1.0,1.0,1.0,1.0,0.0,1.0
auth,67,0.7164,0.9254,0.9778,0.9167,0.9462,0.0526,0.9167
bgp,46,1.0,1.0,1.0,1.0,1.0,0.0,1.0
courier,40,1.0,1.0,1.0,1.0,1.0,0.0,1.0
csnet_ns,34,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ctf,41,1.0,1.0,1.0,1.0,1.0,0.0,1.0
daytime,28,1.0,1.0,1.0,1.0,1.0,0.0,1.0
discard,26,1.0,1.0,1.0,1.0,1.0,0.0,1.0
domain,51,1.0,0.8824,1.0,0.8824,0.9375,0.0,0.8824
domain_u,894,0.0022,0.9966,0.4,1.0,0.5714,0.0034,1.0
echo,37,1.0,1.0,1.0,1.0,1.0,0.0,1.0
eco_i,262,0.9008,0.9962,0.9958,1.0,0.9979,0.0385,1.0
ecr_i,752,0.9362,0.9601,0.9591,1.0,0.9791,0.625,1.0
efs,33,1.0,1.0,1.0,1.0,1.0,0.0,1.0
exec,27,1.0,1.0,1.0,1.0,1.0,0.0,1.0
finger,136,0.6544,0.9853,1.0,0.9775,0.9886,0.0,0.9775
ftp,692,0.9306,0.1474,0.9821,0.0854,0.1571,0.0208,0.0854
ftp_data,851,0.624,0.5981,0.9948,0.3578,0.5263,0.0031,0.3578
gopher,34,1.0,1.0,1.0,1.0,1.0,0.0,1.0
hostnames,23,1.0,1.0,1.0,1.0,1.0,0.0,1.0
http,7853,0.1503,0.9804,0.975,0.8924,0.9319,0.004,0.8924
http_443,36,1.0,1.0,1.0,1.0,1.0,0.0,1.0
imap4,306,1.0,0.3987,1.0,0.3987,0.5701,0.0,0.3987
iso_tsap,48,1.0,1.0,1.0,1.0,1.0,0.0,1.0
klogin,21,1.0,1.0,1.0,1.0,1.0,0.0,1.0
kshell,24,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ldap,19,1.0,1.0,1.0,1.0,1.0,0.0,1.0
link,41,0.9756,0.9756,0.9756,1.0,0.9877,1.0,1.0
login,29,1.0,0.9655,1.0,0.9655,0.9825,0.0,0.9655
mtp,32,1.0,1.0,1.0,1.0,1.0,0.0,1.0
name,37,1.0,1.0,1.0,1.0,1.0,0.0,1.0
netbios_dgm,25,1.0,1.0,1.0,1.0,1.0,0.0,1.0
netbios_ns,36,1.0,1.0,1.0,1.0,1.0,0.0,1.0
netbios_ssn,15,1.0,1.0,1.0,1.0,1.0,0.0,1.0
netstat,26,1.0,1.0,1.0,1.0,1.0,0.0,1.0
nnsp,42,1.0,1.0,1.0,1.0,1.0,0.0,1.0
nntp,21,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ntp_u,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
other,838,0.9224,0.7864,0.9381,0.8228,0.8766,0.6462,0.8228
pm_dump,16,1.0,0.5625,1.0,0.5625,0.72,0.0,0.5625
pop_2,13,1.0,1.0,1.0,1.0,1.0,0.0,1.0
pop_3,1019,0.9921,0.0736,1.0,0.0663,0.1243,0.0,0.0663
printer,11,1.0,1.0,1.0,1.0,1.0,0.0,1.0
private,4774,0.8215,0.8599,0.9524,0.873,0.911,0.2007,0.873
remote_job,14,0.9286,0.9286,0.9286,1.0,0.963,1.0,1.0
rje,8,1.0,1.0,1.0,1.0,1.0,0.0,1.0
shell,16,1.0,1.0,1.0,1.0,1.0,0.0,1.0
smtp,934,0.3383,0.6734,0.7391,0.0538,0.1003,0.0097,0.0538
sql_net,18,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ssh,26,1.0,1.0,1.0,1.0,1.0,0.0,1.0
sunrpc,159,1.0,0.5975,1.0,0.5975,0.748,0.0,0.5975
supdup,27,1.0,1.0,1.0,1.0,1.0,0.0,1.0
systat,32,1.0,1.0,1.0,1.0,1.0,0.0,1.0
telnet,1626,0.9729,0.1999,1.0,0.1776,0.3017,0.0,0.1776
tftp_u,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
tim_i,6,0.8333,0.6667,1.0,0.6,0.75,0.0,0.6
time,36,0.8611,1.0,1.0,1.0,1.0,0.0,1.0
urp_i,23,0.2174,0.8261,1.0,0.2,0.3333,0.0,0.2
uucp,50,1.0,1.0,1.0,1.0,1.0,0.0,1.0
uucp_path,46,1.0,1.0,1.0,1.0,1.0,0.0,1.0
vmnet,43,1.0,1.0,1.0,1.0,1.0,0.0,1.0
whois,40,1.0,1.0,1.0,1.0,1.0,0.0,1.0
