model,accuracy,precision,recall,f1,auc_roc
"Hierarchical (k=7, Ward)",0.898,0.9035,0.8766,0.8898,
Autoencoder,0.7862,0.7411,0.9598,0.8364,0.817
Decision Tree,0.7988,0.9678,0.6688,0.791,0.838
XGBoost (t=0.38),0.7892,0.9663,0.6524,0.7789,0.9668
XGBoost,0.7868,0.9667,0.6477,0.7757,0.9668
LightGBM,0.7771,0.9655,0.631,0.7632,0.9552
Random Forest,0.7633,0.9676,0.6045,0.7441,0.9525
DBSCAN (eps=0.5),0.6697,0.5811,1.0,0.7351,
Isolation Forest,0.7013,0.7483,0.716,0.7318,0.7787
K-Means (k=2),0.7276,0.965,0.5411,0.6934,0.7576
Logistic Regression,0.6557,0.7316,0.6242,0.6736,0.6463
SVM (LinearSVC + Calibration),0.6562,0.735,0.6193,0.6722,0.6507
